Date, Close, Return
"2000-01-03",27.58,0
"2000-01-04",25.25,-0.0882647166437867
"2000-01-05",25.62,0.0145471407472195
"2000-01-06",23.4,-0.0906372741049326
"2000-01-07",24.51,0.0463451751763655
"2000-01-10",24.08,-0.0176995770994011
"2000-01-11",22.85,-0.0524305031004064
"2000-01-12",21.48,-0.0618288476995499
"2000-01-13",23.84,0.104242572556485
"2000-01-14",24.74,0.037056524767193
"2000-01-18",25.61,0.0345615332470919
"2000-01-19",26.25,0.0246830888261989
"2000-01-20",27.96,0.0631089283279769
"2000-01-21",27.42,-0.0195022432314413
"2000-01-24",26.18,-0.0462769136524144
"2000-01-25",27.65,0.0546299674865898
"2000-01-26",27.15,-0.0182486815883993
"2000-01-27",27.1,-0.0018433184942892
"2000-01-28",25.04,-0.0790591816537574
"2000-01-31",25.56,0.0205540832774362
"2000-02-01",24.7,-0.0342253858754025
"2000-02-02",24.34,-0.0146821560745503
"2000-02-03",25.45,0.0445946554371504
"2000-02-04",26.61,0.0445713419930662
"2000-02-07",28.1,0.0544824913501021
"2000-02-08",28.3,0.00709222830949185
"2000-02-09",27.75,-0.0196259644567482
"2000-02-10",27.96,0.00753907717316604
"2000-02-11",26.79,-0.0427462338090923
"2000-02-14",28.53,0.0629274816688912
"2000-02-15",29.32,0.0273137117930422
"2000-02-16",28.12,-0.0417888100759867
"2000-02-17",28.3,0.00638073770672776
"2000-02-18",27.41,-0.0319538943344972
"2000-02-22",28.04,0.022724151851695
"2000-02-23",28.64,0.0211722799260552
"2000-02-24",28.38,-0.00911967036054806
"2000-02-25",27.19,-0.0428354130875173
"2000-02-28",27.9,0.0257774301829405
"2000-02-29",28.24,0.0121127237977214
"2000-03-01",32.1,0.128116617510929
"2000-03-02",30.06,-0.0656606458111417
"2000-03-03",31.53,0.047744089232141
"2000-03-06",30.97,-0.0179204795718584
"2000-03-07",30.27,-0.0228618709514841
"2000-03-08",30.06,-0.00696173870879857
"2000-03-09",30.12,0.00199401860686432
"2000-03-10",30.98,0.0281524320570297
"2000-03-13",29.89,-0.0358178586928761
"2000-03-14",28.15,-0.0599766217101472
"2000-03-15",28.64,0.0172569875067454
"2000-03-16",29.95,0.0447249824690137
"2000-03-17",30.8,0.0279853654180706
"2000-03-20",30.3,-0.0163669774642057
"2000-03-21",33.24,0.0926062574719242
"2000-03-22",35.52,0.066341948136722
"2000-03-23",34.81,-0.0201912163006219
"2000-03-24",34.17,-0.0185566356961471
"2000-03-27",34.38,0.00612693382750296
"2000-03-28",34.28,-0.00291290622512452
"2000-03-29",33.49,-0.0233152069234657
"2000-03-30",30.98,-0.0779050518173907
"2000-03-31",33.46,0.0770088605699555
"2000-04-03",32.84,-0.0187034109744504
"2000-04-04",31.36,-0.0461140891020206
"2000-04-05",32.12,0.023945693596354
"2000-04-06",30.84,-0.0406663403834324
"2000-04-07",32.46,0.0511960133913165
"2000-04-10",30.8,-0.0524938721069161
"2000-04-11",29.43,-0.0455001277341478
"2000-04-12",26.92,-0.0891450574688539
"2000-04-13",28.04,0.0407625573898622
"2000-04-14",27.56,-0.0172666160209318
"2000-04-17",30.52,0.102016760270799
"2000-04-18",31.26,0.0239571185770742
"2000-04-19",29.84,-0.0464895496577702
"2000-04-20",29.29,-0.0186036144959183
"2000-04-24",29.69,0.0135641279360263
